id,name,address,type_code,industry,port,lng,lat,pname,cityname,adname
B01730HZRE,河南博物院,农业路8号,科教文化服务;博物馆;博物馆,其他行业,消费端,113.672097,34.788263,河南省,郑州市,金水区
B017308PRI,郑州国际会展中心,郑东新区商务内环路中央公园1号,科教文化服务;会展中心;会展中心,其他行业,消费端,113.728952,34.772596,河南省,郑州市,金水区
B01730K37H,郑州大学,科学大道100号,科教文化服务;学校;高等院校,其他行业,消费端,113.53591,34.817077,河南省,郑州市,中原区
B01730JLX0,郑州西亚斯学院,人民路168号,科教文化服务;学校;高等院校,其他行业,消费端,113.765004,34.401422,河南省,郑州市,新郑市
B017316EDQ,河南财经政法大学(郑东校区),博学路街道明理路社区金水东路180号,科教文化服务;学校;高等院校,其他行业,消费端,113.820123,34.783173,河南省,郑州市,金水区
B0173082JT,河南工业大学莲花街校区,高新区莲花街100号,科教文化服务;学校;高等院校,其他行业,消费端,113.549843,34.831152,河南省,郑州市,中原区
B01730ISNA,黄河科技学院(南校区),紫荆山南路666号,科教文化服务;学校;高等院校,其他行业,消费端,113.676224,34.687598,河南省,郑州市,二七区
B0FFKCGLHK,郑州博物馆新馆,文翰街9号,科教文化服务;博物馆;博物馆,其他行业,消费端,113.54672,34.7396,河南省,郑州市,中原区
B017307EVG,河南省黄河迎宾馆,迎宾路1号,住宿服务;宾馆酒店;五星级宾馆,旅游业,消费端,113.648913,34.873673,河南省,郑州市,惠济区
B0HGH7AXMW,河南自然博物馆,郑东新区金水东路18号,科教文化服务;博物馆;博物馆,其他行业,消费端,113.751945,34.765612,河南省,郑州市,金水区
B01730KB8H,郑州航空工业管理学院(东校区),文苑西路15号,科教文化服务;学校;高等院校,其他行业,消费端,113.78725,34.788509,河南省,郑州市,金水区
B01730JEHS,郑州科技学院,马寨镇学院路1号,科教文化服务;学校;高等院校,其他行业,消费端,113.509188,34.707415,河南省,郑州市,荥阳市
B0FFJ4LGNS,郑州银基冰雪酒店(动物王国店),刘寨镇刘寨村迎宾大道南侧,住宿服务;宾馆酒店;宾馆酒店,旅游业,消费端,113.55329,34.481039,河南省,郑州市,新密市
B017316NDC,郑州升达经贸管理学院西院区,龙湖街道文昌路1号,科教文化服务;学校;高等院校,其他行业,消费端,113.690552,34.5925,河南省,郑州市,新郑市
B017307G1J,华北水利水电大学(龙子湖校区),郑东新区金水东路136号,科教文化服务;学校;高等院校,其他行业,消费端,113.794241,34.780685,河南省,郑州市,金水区
B01730JOT1,河南农业大学龙子湖校区,文苑北路河南农业大学,科教文化服务;学校;高等院校,其他行业,生产端,113.822341,34.798804,河南省,郑州市,金水区
B01730J0GV,河南中医药大学(龙子湖校区),金水东路156号,科教文化服务;学校;高等院校,其他行业,消费端,113.805064,34.780242,河南省,郑州市,金水区
B0FFHK9L2I,郑州大学(南校区),大学北路75号,科教文化服务;学校;高等院校,其他行业,消费端,113.638826,34.742979,河南省,郑州市,二七区
B0173163B3,郑州轻工业大学科学校区,科学大道136号,科教文化服务;学校;高等院校,其他行业,消费端,113.50932,34.811214,河南省,郑州市,中原区
